Program Code;IHE Name;Address;Type;PTT Network;Size;Locale;Traditional;Alternative;Program Code ;Latitude;Longitude;Partnerships Description;Year-long Residency (Any Program);District Level Partnership;Licensure Area 1;Licensure Area 2;Licensure Area 3;Licensure Area 4;Licensure Area 5;Licensure Area 6;Licensure Area 7;Licensure Area 8;Licensure Area 9;Licensure Area 10;Licensure Area 11;Licensure Area 12;Licensure Area 13;Licensure Area 14;Licensure Area 15;Licensure Area 16;Licensure Area 17;Licensure Area 18;Licensure Area 19;Licensure Area 20;Licensure Area 21;Licensure Area 22;Licensure Area 23;Licensure Area 24;Licensure Area 25;Licensure Area 26;Licensure Area 27;Licensure Area 28;Licensure Area 29;Licensure Area 30;Licensure Area 31;Licensure Area 32;Licensure Area 33;Licensure Area 34;Licensure Area 35;Licensure Area 36;Licensure Area 37
300;Adelphi University;1 South Ave, Garden City, NY 11530;Private;Yes;Large;Suburban;Yes;No;300;40.721203;-73.652149;Generic description of types of partnerships engaged in;Yes;Yes;Biology 7-12;Chemistry 7-12;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);Earth Science 7-12;English Language Arts 7-12;English To Speakers Of Other Languages;Health Education;Mathematics 7-12;Music;Physical Education;Social Studies 7-12;Speech And Language Disabilities;;;;;;;;;;;;;;;;;;;;;;;;
310;Bank Street College;610 W 112th St, New York, NY 10025;Private;Yes;Small;City;Yes;No;310;40.805608;-73.966681;Generic description of types of partnerships engaged in;Yes;No;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);Students With Disabilities (Birth - Grade 2);Students With Disabilities (Grades 1-6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;Canisius College;2001 Main St, Buffalo, NY 14208;Private;Yes;Mid;Suburban;Yes;Yes;375;42.925424;-78.851504;Generic description of types of partnerships engaged in;Yes;Yes;Childhood Education (Grades 1-6);Deaf And Hard Of Hearing;Early Childhood Education (Birth-Grade 2);English Language Arts 7-12;English To Speakers Of Other Languages;Mathematics 7-12;Physical Education;Social Studies 7-12;Spanish 7-12;Students With Disabilities - Grades 7-12 - Generalist;Biology 7-12;Chemistry 7-12;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);English Language Arts 7-12;English To Speakers Of Other Languages;Spanish 7-12;Students With Disabilities (Birth - Grade 2);Students With Disabilities (Grades 1-6);Students With Disabilities - Grades 7-12 - Generalist;;;;;;;;;;;;;;;;;
340;College of Staten Island;2800 Victory Blvd, Staten Island, NY 10314;Public;Yes;Large;City;Yes;No;340;40.606849;-74.151047;Generic description of types of partnerships engaged in;Yes;Yes;Biology 7-12;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);English Language Arts 7-12;Italian 7-12;Mathematics 7-12;Social Studies 7-12;Spanish 7-12;Students With Disabilities (Grades 1-6);Students With Disabilities - Grades 7-12 - Generalist;;;;;;;;;;;;;;;;;;;;;;;;;;;
445;Fordham University;The Bronx, NY 10458;Private;Yes;Small;City;Yes;Yes;445;40.861649;-73.885637;Generic description of types of partnerships engaged in;Yes;Yes;Biology 7-12;Chemistry 7-12;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);English Language Arts 7-12;English To Speakers Of Other Languages;Mathematics 7-12;Social Studies 7-12;Students With Disabilities (Birth - Grade 2);Students With Disabilities - Grades 7-12 - Generalist;English Language Arts 7-12;;;;;;;;;;;;;;;;;;;;;;;;;;
350;Hunter College;904 Lexington Ave, Hunter College, Manhattan, NY 10065,;Public;Yes;Mid;City;Yes;Yes;350;40.767698;-73.964668;Generic description of types of partnerships engaged in;Yes;Yes;Biology 7-12;Blind And Visually Impaired;Chemistry 7-12;Childhood Education (Grades 1-6);Chinese 7-12;Dance;Deaf And Hard Of Hearing;Early Childhood Education (Birth-Grade 2);Earth Science 7-12;English Language Arts 7-12;English To Speakers Of Other Languages;French 7-12;Italian 7-12;Latin 7-12;Mathematics 7-12;Music;Physics 7-12;Social Studies 7-12;Spanish 7-12;Speech And Language Disabilities;Students With Disabilities (Birth - Grade 2);Students With Disabilities (Grades 1-6);Students With Disabilities - Grades 7-12 - Generalist;Theatre;Biology 7-12;Chemistry 7-12;Childhood Education (Grades 1-6);Dance;Earth Science 7-12;English Language Arts 7-12;English To Speakers Of Other Languages;Mathematics 7-12;Music;Students With Disabilities (Birth - Grade 2);Students With Disabilities (Grades 1-6);Students With Disabilities - Grades 7-12 - Generalist;Theatre
570;MCNY;60 W 60th St, New York, NY 10006;Private;Yes;Large;City;Yes;No;570;40.70855;-74.01497;Generic description of types of partnerships engaged in;Yes;Yes;Childhood Education (Grades 1-6);Students With Disabilities (Grades 1-6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;Nazareth College ;4245 East Ave, Rochester, NY 14618;Private;Yes;Large;Suburban;Yes;No;590;42.318362;-85.539334;Generic description of types of partnerships engaged in;Yes;Yes;Biology 7-12;Chemistry 7-12;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);English To Speakers Of Other Languages;Music;Social Studies 7-12;Speech And Language Disabilities;Students With Disabilities (Birth - Grade 2);Students With Disabilities (Grades 1-6);Visual Arts;;;;;;;;;;;;;;;;;;;;;;;;;;
615;Niagra University;5795 Lewiston Rd, Niagara University, NY 14109;Private;Yes;Mid;Suburban;Yes;No;615;43.1383605;-79.0376672;Generic description of types of partnerships engaged in;Yes;Yes;Biology 7-12;Business And Marketing;Childhood Education (Grades 1-6);Childhood Education (Grades 1-6);English Language Arts 7-12;English Language Arts 7-12;English To Speakers Of Other Languages;English To Speakers Of Other Languages;Mathematics 7-12;Music;Social Studies 7-12;Social Studies 7-12;Spanish 7-12;Students With Disabilities (Grades 1-6);;;;;;;;;;;;;;;;;;;;;;;
680;St. Johns University;8000 Utopia Pkwy, Jamaica, NY 11439;Private;Yes;Large;Suburban;Yes;Yes;680;40.672911;-73.793178;Generic description of types of partnerships engaged in;Yes;No;Biology 7-12;Chemistry 7-12;Childhood Education (Grades 1-6);Early Childhood Education (Birth-Grade 2);English Language Arts 7-12;English To Speakers Of Other Languages;Mathematics 7-12;Social Studies 7-12;Speech And Language Disabilities;Students With Disabilities (Birth - Grade 2);Students With Disabilities (Grades 1-6);Students With Disabilities - Grades 7-12 - Generalist;Biology 7-12;English Language Arts 7-12;;;;;;;;;;;;;;;;;;;;;;;
